公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-06-29,SSE,兴业证券股份有限公司,510270,2026-06-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260629_10823814.shtml
2026-06-29,SSE,东吴证券股份有限公司,515390,2026-06-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260629_10823812.shtml
2026-06-29,SSE,招商证券股份有限公司,561430,2026-06-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260629_10823818.shtml
2026-06-29,SSE,兴业证券股份有限公司,563760,2026-06-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260629_10823816.shtml
2026-06-29,SSE,广发证券股份有限公司,589350,2026-06-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260629_10823810.shtml
2026-06-29,SSE,招商证券股份有限公司,589350,2026-06-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260629_10823820.shtml
2026-06-29,SSE,方正证券股份有限公司,589350,2026-06-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260629_10823822.shtml
2026-06-29,SZSE,招商证券股份有限公司,159007,2026-06-29,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?1e8976c4-3209-4256-a3b0-54b673368de5; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3a3403ea-3c8e-4110-9f69-dcfa04470576; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3cf572e7-e444-4bfa-be9e-1e112aea49bf
2026-06-29,SZSE,中信证券股份有限公司,159040,2026-06-29,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?c533a8d1-0c4d-4557-8a34-5f65167e56ba
2026-06-29,SZSE,中国国际金融股份有限公司,159053,2026-06-29,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f299fd52-eed1-4f34-adec-c212f3ae1d4f
2026-06-29,SZSE,华泰证券股份有限公司,159053,2026-06-29,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f299fd52-eed1-4f34-adec-c212f3ae1d4f
2026-06-29,SZSE,招商证券股份有限公司,159139,2026-06-29,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?1e8976c4-3209-4256-a3b0-54b673368de5; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3a3403ea-3c8e-4110-9f69-dcfa04470576; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3cf572e7-e444-4bfa-be9e-1e112aea49bf
2026-06-29,SZSE,中信证券股份有限公司,159550,2026-06-29,终止,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?0fe85966-ab4b-4544-80ca-8bbb636df503
2026-06-29,SZSE,招商证券股份有限公司,159738,2026-06-29,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?1e8976c4-3209-4256-a3b0-54b673368de5; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3a3403ea-3c8e-4110-9f69-dcfa04470576; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3cf572e7-e444-4bfa-be9e-1e112aea49bf
2026-06-29,SZSE,招商证券股份有限公司,159919,2026-06-29,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?45dc3c5a-1e30-412d-a090-4d077f7a1968
