公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-05-14,SSE,东方证券股份有限公司,512880,2026-05-15,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260514_10818516.shtml
2026-05-14,SSE,东方证券股份有限公司,515220,2026-05-15,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260514_10818514.shtml
2026-05-14,SSE,广发证券股份有限公司,520730,2026-05-15,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260514_10818522.shtml
2026-05-14,SSE,方正证券股份有限公司,520730,2026-05-15,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260514_10818520.shtml
2026-05-14,SSE,华泰证券股份有限公司,560460,2026-05-15,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260514_10818518.shtml
2026-05-14,SSE,国信证券股份有限公司,560460,2026-05-15,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260514_10818524.shtml
2026-05-14,SZSE,中国国际金融股份有限公司,159016,2026-05-14,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?b215a30e-540d-4bd9-b1cf-2ee2042b0cd2
2026-05-14,SZSE,国信证券股份有限公司,159016,2026-05-14,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?b215a30e-540d-4bd9-b1cf-2ee2042b0cd2
2026-05-14,SZSE,招商证券股份有限公司,159016,2026-05-14,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?b215a30e-540d-4bd9-b1cf-2ee2042b0cd2
2026-05-14,SZSE,中信建投证券股份有限公司,159027,2026-05-15,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?de7c283b-f7ad-4deb-98d2-82c31233ecb5
2026-05-14,SZSE,中信证券股份有限公司,159027,2026-05-15,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?de7c283b-f7ad-4deb-98d2-82c31233ecb5
2026-05-14,SZSE,国信证券股份有限公司,159027,2026-05-15,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?de7c283b-f7ad-4deb-98d2-82c31233ecb5
2026-05-14,SZSE,广发证券股份有限公司,159027,2026-05-15,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?de7c283b-f7ad-4deb-98d2-82c31233ecb5
2026-05-14,SZSE,方正证券股份有限公司,159027,2026-05-15,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?de7c283b-f7ad-4deb-98d2-82c31233ecb5
2026-05-14,SZSE,广发证券股份有限公司,159028,2026-05-14,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3057826c-9f42-408f-adc6-5b559caff348
2026-05-14,SZSE,方正证券股份有限公司,159028,2026-05-14,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3057826c-9f42-408f-adc6-5b559caff348
2026-05-14,SZSE,东方财富证券股份有限公司,159178,2026-05-14,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?31419872-18d8-412b-a529-6d10113c879a
