公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-06-16,SSE,兴业证券股份有限公司,510210,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822472.shtml
2026-06-16,SSE,西部证券股份有限公司,510300,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822482.shtml
2026-06-16,SSE,兴业证券股份有限公司,510720,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822436.shtml
2026-06-16,SSE,招商证券股份有限公司,510980,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822345.shtml
2026-06-16,SSE,招商证券股份有限公司,511850,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822313.shtml
2026-06-16,SSE,招商证券股份有限公司,511880,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822319.shtml
2026-06-16,SSE,招商证券股份有限公司,511990,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822375.shtml
2026-06-16,SSE,兴业证券股份有限公司,512000,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822399.shtml
2026-06-16,SSE,招商证券股份有限公司,512000,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822363.shtml
2026-06-16,SSE,兴业证券股份有限公司,512010,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822387.shtml
2026-06-16,SSE,招商证券股份有限公司,512170,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822297.shtml
2026-06-16,SSE,招商证券股份有限公司,512580,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822337.shtml
2026-06-16,SSE,兴业证券股份有限公司,512660,2026-06-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260616_10822397.shtml
