公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-07-13,SSE,国投证券股份有限公司,516080,2026-07-14,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260713_10825366.shtml
2026-07-13,SSE,广发证券股份有限公司,561420,2026-07-14,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260713_10825360.shtml
2026-07-13,SSE,国投证券股份有限公司,562950,2026-07-14,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260713_10825364.shtml
2026-07-13,SSE,广发证券股份有限公司,589080,2026-07-14,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260713_10825368.shtml
2026-07-13,SSE,国投证券股份有限公司,589180,2026-07-14,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260713_10825362.shtml
2026-07-13,SZSE,方正证券股份有限公司,159067,2026-07-13,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?4ea4e3b5-3f89-46f6-bc9f-e30079c9eeef
2026-07-13,SZSE,国投证券股份有限公司,159185,2026-07-13,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?60ed9ff4-a4b6-452e-a188-c68f750f7d80
