公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-07-24,SSE,中国国际金融股份有限公司,512120,2026-07-27,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260724_10826682.shtml
2026-07-24,SSE,平安证券股份有限公司,515390,2026-07-27,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260724_10826686.shtml
2026-07-24,SSE,中国国际金融股份有限公司,516200,2026-07-27,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260724_10826684.shtml
2026-07-24,SSE,华泰证券股份有限公司,588890,2026-07-27,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260724_10826688.shtml
2026-07-24,SSE,华泰证券股份有限公司,589360,2026-07-27,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260724_10826690.shtml
