公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-05-23,SZSE,广发证券股份有限公司,159130,2026-05-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?57e305c9-5868-4676-ab0f-6f384874ebca; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?9765a2fe-abd4-4d62-b5db-d7cf39ccbe18
2026-05-23,SZSE,方正证券股份有限公司,159265,2026-05-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?57e305c9-5868-4676-ab0f-6f384874ebca; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?9765a2fe-abd4-4d62-b5db-d7cf39ccbe18
2026-05-23,SZSE,广发证券股份有限公司,159613,2026-05-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?9c6a73ce-7aff-4571-bf45-0a35a67845f2
2026-05-23,SZSE,华泰证券股份有限公司,159881,2026-05-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?7c8bf259-9d0c-4e4a-ba93-e22d4a855716
