公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-06-04,SSE,招商证券股份有限公司,510910,2026-06-05,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820746.shtml
2026-06-04,SSE,东海证券股份有限公司,512480,2026-06-05,终止,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820762.shtml
2026-06-04,SSE,东海证券股份有限公司,515260,2026-06-05,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820760.shtml
2026-06-04,SSE,华泰证券股份有限公司,526000,2026-06-05,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820754.shtml
2026-06-04,SSE,国信证券股份有限公司,560720,2026-06-05,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820758.shtml
2026-06-04,SSE,申万宏源证券有限公司,560720,2026-06-05,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820752.shtml
2026-06-04,SSE,招商证券股份有限公司,560830,2026-06-05,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820748.shtml
2026-06-04,SSE,招商证券股份有限公司,561100,2026-06-05,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820750.shtml
2026-06-04,SSE,中信建投证券股份有限公司,561660,2026-06-05,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820756.shtml
2026-06-04,SSE,东海证券股份有限公司,562080,2026-06-05,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820764.shtml
2026-06-04,SSE,东海证券股份有限公司,563500,2026-06-05,终止,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820766.shtml
2026-06-04,SSE,东海证券股份有限公司,588080,2026-06-05,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260604_10820768.shtml
2026-06-04,SZSE,华泰证券股份有限公司,159131,2026-06-04,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?8d2d5655-9b60-4cf6-9f3f-ffa78903e9a2
2026-06-04,SZSE,中信建投证券股份有限公司,159177,2026-06-04,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?0f492c35-4442-44f3-a4af-141a8370d5b4
2026-06-04,SZSE,东方证券股份有限公司,159525,2026-06-04,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?2a8e9cb2-81da-4d9a-85a1-c979fbd8d4b6
2026-06-04,SZSE,中信建投证券股份有限公司,159525,2026-06-04,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?2a8e9cb2-81da-4d9a-85a1-c979fbd8d4b6
