公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-05-18,SSE,中信证券股份有限公司,512870,2026-05-19,终止,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260518_10818867.shtml
2026-05-18,SSE,中信证券股份有限公司,516840,2026-05-19,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260518_10818861.shtml
2026-05-18,SSE,国泰海通证券股份有限公司,516840,2026-05-19,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260518_10818863.shtml
2026-05-18,SSE,中信证券股份有限公司,520730,2026-05-19,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260518_10818859.shtml
2026-05-18,SSE,国信证券股份有限公司,560420,2026-05-19,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260518_10818865.shtml
