公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-07-29,SSE,广发证券股份有限公司,508030,2026-07-30,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260729_10827142.shtml
2026-07-29,SSE,中国银河证券股份有限公司,512040,2026-07-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260729_10827146.shtml
2026-07-29,SSE,国金证券股份有限公司,513040,2026-07-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260729_10827150.shtml
2026-07-29,SSE,东方证券股份有限公司,516580,2026-07-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260729_10827148.shtml
2026-07-29,SSE,华泰证券股份有限公司,560730,2026-07-30,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260729_10827152.shtml
2026-07-29,SSE,东方财富证券股份有限公司,589060,2026-07-30,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260729_10827144.shtml
2026-07-29,SZSE,中信建投证券股份有限公司,159387,2026-07-29,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?18f184ae-926a-4a96-adf7-a23a32f2dd28; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3eac85d1-9931-481e-a4fa-a7366e8d281b; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?69578dda-cb25-4ad5-95dc-f43eeea90732; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?b1e36ecb-b40e-492d-814a-de107e530f30; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f00deda9-314b-46d7-9f18-be7182a04714
2026-07-29,SZSE,国投证券股份有限公司,159516,2026-07-29,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?6cfeda9e-6a2a-4394-bae5-7fea4e0c7ca7
2026-07-29,SZSE,国泰海通证券股份有限公司,159516,2026-07-29,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?18f184ae-926a-4a96-adf7-a23a32f2dd28; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3eac85d1-9931-481e-a4fa-a7366e8d281b; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?69578dda-cb25-4ad5-95dc-f43eeea90732; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?b1e36ecb-b40e-492d-814a-de107e530f30; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f00deda9-314b-46d7-9f18-be7182a04714
2026-07-29,SZSE,广发证券股份有限公司,159621,2026-07-29,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?18f184ae-926a-4a96-adf7-a23a32f2dd28; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3eac85d1-9931-481e-a4fa-a7366e8d281b; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?69578dda-cb25-4ad5-95dc-f43eeea90732; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?b1e36ecb-b40e-492d-814a-de107e530f30; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f00deda9-314b-46d7-9f18-be7182a04714
2026-07-29,SZSE,招商证券股份有限公司,159643,2026-07-29,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?18f184ae-926a-4a96-adf7-a23a32f2dd28; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3eac85d1-9931-481e-a4fa-a7366e8d281b; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?69578dda-cb25-4ad5-95dc-f43eeea90732; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?b1e36ecb-b40e-492d-814a-de107e530f30; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f00deda9-314b-46d7-9f18-be7182a04714
2026-07-29,SZSE,国泰海通证券股份有限公司,159865,2026-07-29,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?18f184ae-926a-4a96-adf7-a23a32f2dd28; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?3eac85d1-9931-481e-a4fa-a7366e8d281b; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?69578dda-cb25-4ad5-95dc-f43eeea90732; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?b1e36ecb-b40e-492d-814a-de107e530f30; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f00deda9-314b-46d7-9f18-be7182a04714
