公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-08-07,SSE,中国国际金融股份有限公司,508059,2026-08-10,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260807_10828295.shtml
2026-08-07,SSE,华泰证券股份有限公司,508059,2026-08-10,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260807_10828297.shtml
2026-08-07,SSE,中国国际金融股份有限公司,520740,2026-08-10,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260807_10828292.shtml
2026-08-07,SZSE,国信证券股份有限公司,158006,2026-08-07,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?443d914e-4d97-46ec-8928-b6ec9fde893e
2026-08-07,SZSE,广发证券股份有限公司,158006,2026-08-07,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?443d914e-4d97-46ec-8928-b6ec9fde893e
2026-08-07,SZSE,光大证券股份有限公司,159112,2026-08-07,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?ceec05d2-a188-4d2d-94fe-4be7064979bd
2026-08-07,SZSE,中信建投证券股份有限公司,159186,2026-08-07,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?46c997c9-3409-4ce5-8fc8-8fc873eaab48
2026-08-07,SZSE,国泰海通证券股份有限公司,159186,2026-08-07,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?46c997c9-3409-4ce5-8fc8-8fc873eaab48
2026-08-07,SZSE,广发证券股份有限公司,159186,2026-08-07,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?46c997c9-3409-4ce5-8fc8-8fc873eaab48
2026-08-07,SZSE,国信证券股份有限公司,159228,2026-08-07,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?e58dac29-bd28-404a-9185-bc85915931f7
2026-08-07,SZSE,方正证券股份有限公司,159840,2026-08-07,终止,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?575388b6-e4cd-4281-b954-f3ab567929c9
