公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-05-12,SSE,东方财富证券股份有限公司,510050,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818314.shtml
2026-05-12,SSE,招商证券股份有限公司,510130,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818258.shtml
2026-05-12,SSE,招商证券股份有限公司,512030,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818276.shtml
2026-05-12,SSE,中国银河证券股份有限公司,512140,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818242.shtml
2026-05-12,SSE,中信证券股份有限公司,512430,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818306.shtml
2026-05-12,SSE,中国银河证券股份有限公司,513240,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818240.shtml
2026-05-12,SSE,长江证券股份有限公司,515390,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818316.shtml
2026-05-12,SSE,招商证券股份有限公司,516080,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818288.shtml
2026-05-12,SSE,招商证券股份有限公司,516090,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818278.shtml
2026-05-12,SSE,招商证券股份有限公司,516350,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818252.shtml
2026-05-12,SSE,中国国际金融股份有限公司,516840,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818246.shtml
2026-05-12,SSE,方正证券股份有限公司,516840,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818300.shtml
2026-05-12,SSE,招商证券股份有限公司,530100,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818266.shtml
2026-05-12,SSE,招商证券股份有限公司,530180,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818284.shtml
2026-05-12,SSE,招商证券股份有限公司,530380,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818280.shtml
2026-05-12,SSE,招商证券股份有限公司,560160,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818260.shtml
2026-05-12,SSE,中信建投证券股份有限公司,560320,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818312.shtml
2026-05-12,SSE,中国国际金融股份有限公司,560320,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818244.shtml
2026-05-12,SSE,国信证券股份有限公司,560320,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818248.shtml
2026-05-12,SSE,广发证券股份有限公司,560320,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818302.shtml
2026-05-12,SSE,招商证券股份有限公司,560320,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818310.shtml
2026-05-12,SSE,方正证券股份有限公司,560320,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818304.shtml
2026-05-12,SSE,招商证券股份有限公司,560370,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818268.shtml
2026-05-12,SSE,华泰证券股份有限公司,560470,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818308.shtml
2026-05-12,SSE,招商证券股份有限公司,562910,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818250.shtml
2026-05-12,SSE,招商证券股份有限公司,562920,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818270.shtml
2026-05-12,SSE,招商证券股份有限公司,562930,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818294.shtml
2026-05-12,SSE,招商证券股份有限公司,562950,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818256.shtml
2026-05-12,SSE,招商证券股份有限公司,562960,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818254.shtml
2026-05-12,SSE,招商证券股份有限公司,562970,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818298.shtml
2026-05-12,SSE,招商证券股份有限公司,563010,2026-05-13,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260512_10818274.shtml
