公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-05-27,SSE,华泰证券股份有限公司,510580,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819868.shtml
2026-05-27,SSE,国金证券股份有限公司,510580,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819864.shtml
2026-05-27,SSE,东方财富证券股份有限公司,516460,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819892.shtml
2026-05-27,SSE,方正证券股份有限公司,560480,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819900.shtml
2026-05-27,SSE,华泰证券股份有限公司,560830,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819870.shtml
2026-05-27,SSE,华泰证券股份有限公司,560930,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819876.shtml
2026-05-27,SSE,东方证券股份有限公司,561320,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819866.shtml
2026-05-27,SSE,华泰证券股份有限公司,562590,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819872.shtml
2026-05-27,SSE,华泰证券股份有限公司,563020,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819878.shtml
2026-05-27,SSE,国信证券股份有限公司,588470,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819880.shtml
2026-05-27,SSE,招商证券股份有限公司,588470,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819884.shtml
2026-05-27,SSE,招商证券股份有限公司,588550,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819888.shtml
2026-05-27,SSE,东方财富证券股份有限公司,589020,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819896.shtml
2026-05-27,SSE,招商证券股份有限公司,589020,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819886.shtml
2026-05-27,SSE,华泰证券股份有限公司,589130,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819874.shtml
2026-05-27,SSE,东方财富证券股份有限公司,589220,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819894.shtml
2026-05-27,SSE,国泰海通证券股份有限公司,589280,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819862.shtml
2026-05-27,SSE,国信证券股份有限公司,589320,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819882.shtml
2026-05-27,SSE,方正证券股份有限公司,589320,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819898.shtml
2026-05-27,SSE,申万宏源证券有限公司,589320,2026-05-28,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260527_10819890.shtml
2026-05-27,SZSE,国信证券股份有限公司,159038,2026-05-27,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?602c2d99-3907-46eb-a3c9-192666498491
2026-05-27,SZSE,广发证券股份有限公司,159146,2026-05-27,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?047c9394-b041-4da4-bf18-9e2badb2938e
2026-05-27,SZSE,国投证券股份有限公司,159248,2026-05-27,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?fe1223c4-3a7a-4a79-b08f-2bc1e78142ba
2026-05-27,SZSE,长江证券股份有限公司,159532,2026-05-27,,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?65a8e3dc-5a6a-4cd5-88b6-265672eb6df8
2026-05-27,SZSE,国投证券股份有限公司,159541,2026-05-27,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?95d16ac3-5c21-4bd0-b6dd-d0bd4100ef73
2026-05-27,SZSE,长江证券股份有限公司,159572,2026-05-27,,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?fe13aade-6ebe-45b1-93f9-d742b71857dd
2026-05-27,SZSE,中信建投证券股份有限公司,159739,2026-05-27,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?150eee12-a570-4c32-b8dc-34654650639f
2026-05-27,SZSE,国投证券股份有限公司,159948,2026-05-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?cec73c3c-5385-4d97-942e-62784c9761b7
2026-05-27,SZSE,国金证券股份有限公司,159985,2026-05-27,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?495f3871-e280-4629-8d59-907ea9583bb9
