公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-08-17,SZSE,中信证券股份有限公司,159098,2026-08-17,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?252d94bd-1569-490c-b8b5-f99bef270d5b
2026-08-17,SZSE,申万宏源证券有限公司,159516,2026-08-17,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?9b90bca5-0de4-4165-9278-ffcbdc4f44ea
2026-08-17,SZSE,国信证券股份有限公司,159608,2026-08-17,终止,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?365f6f03-da50-47c4-8094-ee57a6c999d5; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a3bcb681-b427-4ff7-a1eb-d16187eba361
2026-08-17,SZSE,国泰海通证券股份有限公司,159688,2026-08-17,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?6fb845dd-f0c8-4515-89c7-4945467ec077
2026-08-17,SZSE,国信证券股份有限公司,159801,2026-08-17,终止,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?365f6f03-da50-47c4-8094-ee57a6c999d5; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a3bcb681-b427-4ff7-a1eb-d16187eba361
2026-08-17,SZSE,华泰证券股份有限公司,180606,2026-08-17,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?9a7d138b-17b6-4f41-aa78-7d16f146452e
