公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-07-14,SSE,兴业证券股份有限公司,588160,2026-07-15,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260714_10825478.shtml
2026-07-14,SSE,广发证券股份有限公司,589500,2026-07-15,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260714_10825480.shtml
2026-07-14,SZSE,广发证券股份有限公司,159078,2026-07-14,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a7f0d913-fde8-4827-b892-4f1f835dc855
2026-07-14,SZSE,中信证券股份有限公司,159380,2026-07-14,终止,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?0cf99058-bca5-4afe-88c0-9037203ba22e
2026-07-14,SZSE,西部证券股份有限公司,159940,2026-07-14,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?86a32699-66a9-46e0-b306-25e1aa95b970
