公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-06-30,SSE,中信证券股份有限公司,501225,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823941.shtml
2026-06-30,SSE,方正证券股份有限公司,501225,2026-07-01,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823923.shtml
2026-06-30,SSE,广发证券股份有限公司,510910,2026-07-01,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823971.shtml
2026-06-30,SSE,东吴证券股份有限公司,512040,2026-07-01,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823961.shtml
2026-06-30,SSE,华泰证券股份有限公司,512190,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823929.shtml
2026-06-30,SSE,申万宏源证券有限公司,520700,2026-07-01,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823927.shtml
2026-06-30,SSE,东方证券股份有限公司,561560,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823945.shtml
2026-06-30,SSE,中国国际金融股份有限公司,563790,2026-07-01,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823965.shtml
2026-06-30,SSE,东方证券股份有限公司,588020,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823943.shtml
2026-06-30,SSE,东海证券股份有限公司,588080,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823935.shtml
2026-06-30,SSE,中国国际金融股份有限公司,588160,2026-07-01,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823967.shtml
2026-06-30,SSE,招商证券股份有限公司,588160,2026-07-01,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823969.shtml
2026-06-30,SSE,申万宏源证券有限公司,588160,2026-07-01,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823963.shtml
2026-06-30,SSE,东方证券股份有限公司,588200,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823957.shtml
2026-06-30,SSE,东海证券股份有限公司,588220,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823931.shtml
2026-06-30,SSE,东海证券股份有限公司,588730,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823933.shtml
2026-06-30,SSE,东方证券股份有限公司,588750,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823955.shtml
2026-06-30,SSE,东方证券股份有限公司,588780,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823947.shtml
2026-06-30,SSE,东方证券股份有限公司,588790,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823949.shtml
2026-06-30,SSE,东方证券股份有限公司,588920,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823951.shtml
2026-06-30,SSE,国信证券股份有限公司,589070,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823937.shtml
2026-06-30,SSE,东方证券股份有限公司,589100,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823953.shtml
2026-06-30,SSE,东方证券股份有限公司,589110,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823959.shtml
2026-06-30,SSE,申万宏源证券有限公司,589350,2026-07-01,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823925.shtml
2026-06-30,SSE,国信证券股份有限公司,589560,2026-07-01,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260630_10823939.shtml
2026-06-30,SZSE,招商证券股份有限公司,159165,2026-06-30,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?65ac155f-2b2a-4f16-84fb-3b333c1889fa; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d5548449-15f1-41b3-aede-2b7cddfaca51
2026-06-30,SZSE,广发证券股份有限公司,159266,2026-06-30,新增,主流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?65ac155f-2b2a-4f16-84fb-3b333c1889fa; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d5548449-15f1-41b3-aede-2b7cddfaca51
