公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-07-16,SSE,东海证券股份有限公司,510660,2026-07-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260716_10825686.shtml
2026-07-16,SSE,东海证券股份有限公司,512560,2026-07-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260716_10825690.shtml
2026-07-16,SSE,方正证券股份有限公司,515040,2026-07-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260716_10825682.shtml
2026-07-16,SSE,东海证券股份有限公司,530060,2026-07-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260716_10825688.shtml
2026-07-16,SSE,东海证券股份有限公司,560830,2026-07-17,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260716_10825684.shtml
2026-07-16,SZSE,广发证券股份有限公司,159091,2026-07-16,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?e5ac404d-767a-4b82-bcd1-9081aeb94206
2026-07-16,SZSE,方正证券股份有限公司,159091,2026-07-16,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?e5ac404d-767a-4b82-bcd1-9081aeb94206
