公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-07-20,SSE,中国国际金融股份有限公司,508003,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826249.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508010,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826255.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508011,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826241.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508012,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826239.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508022,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826237.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508048,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826247.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508050,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826245.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508055,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826279.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508078,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826253.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508080,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826243.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508082,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826257.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508084,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826281.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508090,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826235.shtml
2026-07-20,SSE,中国国际金融股份有限公司,508097,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826251.shtml
2026-07-20,SSE,中信证券股份有限公司,512390,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826267.shtml
2026-07-20,SSE,国信证券股份有限公司,512390,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826265.shtml
2026-07-20,SSE,中国国际金融股份有限公司,512940,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826259.shtml
2026-07-20,SSE,浙商证券股份有限公司,516440,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826271.shtml
2026-07-20,SSE,中国国际金融股份有限公司,517110,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826263.shtml
2026-07-20,SSE,中国国际金融股份有限公司,561420,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826261.shtml
2026-07-20,SSE,浙商证券股份有限公司,588160,2026-07-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826269.shtml
2026-07-20,SSE,中国银河证券股份有限公司,589000,2026-07-21,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826277.shtml
2026-07-20,SSE,中国银河证券股份有限公司,589080,2026-07-21,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826275.shtml
2026-07-20,SSE,中国银河证券股份有限公司,589800,2026-07-21,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260720_10826273.shtml
2026-07-20,SZSE,中信建投证券股份有限公司,159059,2026-07-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a2a1d3b9-c042-4eb4-8ca6-9aa298dea8b7
2026-07-20,SZSE,国信证券股份有限公司,159059,2026-07-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a2a1d3b9-c042-4eb4-8ca6-9aa298dea8b7
2026-07-20,SZSE,国泰海通证券股份有限公司,159059,2026-07-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a2a1d3b9-c042-4eb4-8ca6-9aa298dea8b7
2026-07-20,SZSE,方正证券股份有限公司,159059,2026-07-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a2a1d3b9-c042-4eb4-8ca6-9aa298dea8b7
2026-07-20,SZSE,中信证券股份有限公司,159085,2026-07-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f89f2467-72e7-4f58-b045-aac48724f56e
2026-07-20,SZSE,广发证券股份有限公司,159085,2026-07-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f89f2467-72e7-4f58-b045-aac48724f56e
2026-07-20,SZSE,方正证券股份有限公司,159085,2026-07-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?f89f2467-72e7-4f58-b045-aac48724f56e
