公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-05-19,SSE,中国国际金融股份有限公司,508090,2026-05-20,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818983.shtml
2026-05-19,SSE,申万宏源证券有限公司,510630,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818967.shtml
2026-05-19,SSE,中信建投证券股份有限公司,518880,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818979.shtml
2026-05-19,SSE,申万宏源证券有限公司,520910,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818971.shtml
2026-05-19,SSE,申万宏源证券有限公司,526000,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818969.shtml
2026-05-19,SSE,申万宏源证券有限公司,562660,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818965.shtml
2026-05-19,SSE,东海证券股份有限公司,589280,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818963.shtml
2026-05-19,SSE,中信证券股份有限公司,589280,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818975.shtml
2026-05-19,SSE,华泰证券股份有限公司,589280,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818981.shtml
2026-05-19,SSE,方正证券股份有限公司,589280,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818973.shtml
2026-05-19,SSE,浙商证券股份有限公司,589280,2026-05-20,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260519_10818977.shtml
2026-05-19,SZSE,国泰海通证券股份有限公司,159141,2026-05-19,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?8137b6d1-400e-4e7f-902f-36503db27458
2026-05-19,SZSE,方正证券股份有限公司,159177,2026-05-19,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?51940eb6-1109-4c0e-8766-dc3a96c67048; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?619381a4-3ade-41ca-9ea2-3746337f1716; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d5d20883-9771-47ef-b589-c8ec7ba91119
2026-05-19,SZSE,国投证券股份有限公司,159387,2026-05-19,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?704983eb-c69e-471a-9bee-a5ee44fe8e8d
2026-05-19,SZSE,山西证券股份有限公司,159387,2026-05-19,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?704983eb-c69e-471a-9bee-a5ee44fe8e8d
2026-05-19,SZSE,方正证券股份有限公司,159698,2026-05-19,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?51940eb6-1109-4c0e-8766-dc3a96c67048; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?619381a4-3ade-41ca-9ea2-3746337f1716; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d5d20883-9771-47ef-b589-c8ec7ba91119
2026-05-19,SZSE,方正证券股份有限公司,159867,2026-05-19,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?51940eb6-1109-4c0e-8766-dc3a96c67048; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?619381a4-3ade-41ca-9ea2-3746337f1716; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d5d20883-9771-47ef-b589-c8ec7ba91119
