公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-08-06,SSE,中信证券股份有限公司,508059,2026-08-07,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828196.shtml
2026-08-06,SSE,中国银河证券股份有限公司,508059,2026-08-07,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828198.shtml
2026-08-06,SSE,广发证券股份有限公司,508059,2026-08-07,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828200.shtml
2026-08-06,SSE,申万宏源证券有限公司,508059,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828202.shtml
2026-08-06,SSE,国泰海通证券股份有限公司,512040,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828174.shtml
2026-08-06,SSE,中国国际金融股份有限公司,512420,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828138.shtml
2026-08-06,SSE,中国银河证券股份有限公司,512420,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828156.shtml
2026-08-06,SSE,国信证券股份有限公司,512420,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828160.shtml
2026-08-06,SSE,方正证券股份有限公司,512420,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828154.shtml
2026-08-06,SSE,广发证券股份有限公司,513000,2026-08-07,终止,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828180.shtml
2026-08-06,SSE,广发证券股份有限公司,513100,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828188.shtml
2026-08-06,SSE,广发证券股份有限公司,513110,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828184.shtml
2026-08-06,SSE,广发证券股份有限公司,513300,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828192.shtml
2026-08-06,SSE,广发证券股份有限公司,513500,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828190.shtml
2026-08-06,SSE,国泰海通证券股份有限公司,513580,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828170.shtml
2026-08-06,SSE,广发证券股份有限公司,513650,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828182.shtml
2026-08-06,SSE,广发证券股份有限公司,513850,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828168.shtml
2026-08-06,SSE,广发证券股份有限公司,513870,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828186.shtml
2026-08-06,SSE,国泰海通证券股份有限公司,517110,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828172.shtml
2026-08-06,SSE,招商证券股份有限公司,561020,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828144.shtml
2026-08-06,SSE,中国银河证券股份有限公司,561280,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828164.shtml
2026-08-06,SSE,中信建投证券股份有限公司,561810,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828158.shtml
2026-08-06,SSE,中国国际金融股份有限公司,561810,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828140.shtml
2026-08-06,SSE,兴业证券股份有限公司,561810,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828150.shtml
2026-08-06,SSE,广发证券股份有限公司,561890,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828152.shtml
2026-08-06,SSE,东方财富证券股份有限公司,588470,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828176.shtml
2026-08-06,SSE,东方财富证券股份有限公司,588830,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828178.shtml
2026-08-06,SSE,中国银河证券股份有限公司,589200,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828166.shtml
2026-08-06,SSE,兴业证券股份有限公司,589210,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828148.shtml
2026-08-06,SSE,国泰海通证券股份有限公司,589210,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828194.shtml
2026-08-06,SSE,招商证券股份有限公司,589210,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828142.shtml
2026-08-06,SSE,招商证券股份有限公司,589420,2026-08-07,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828146.shtml
2026-08-06,SSE,中国银河证券股份有限公司,589500,2026-08-07,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260806_10828162.shtml
2026-08-06,SZSE,广发证券股份有限公司,159075,2026-08-06,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?75d21902-727d-425d-af4c-896f74c4a117
2026-08-06,SZSE,方正证券股份有限公司,159075,2026-08-06,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?75d21902-727d-425d-af4c-896f74c4a117
