公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-04-28,SSE,长江证券股份有限公司,510630,2026-04-29,终止,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817020.shtml
2026-04-28,SSE,广发证券股份有限公司,512360,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817006.shtml
2026-04-28,SSE,广发证券股份有限公司,512940,2026-04-29,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817000.shtml
2026-04-28,SSE,东方证券股份有限公司,515260,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10816996.shtml
2026-04-28,SSE,兴业证券股份有限公司,515390,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817018.shtml
2026-04-28,SSE,广发证券股份有限公司,516720,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817012.shtml
2026-04-28,SSE,广发证券股份有限公司,530100,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817016.shtml
2026-04-28,SSE,广发证券股份有限公司,530380,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817014.shtml
2026-04-28,SSE,东方证券股份有限公司,560310,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10816994.shtml
2026-04-28,SSE,广发证券股份有限公司,560570,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817002.shtml
2026-04-28,SSE,广发证券股份有限公司,561200,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817010.shtml
2026-04-28,SSE,东方证券股份有限公司,561310,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10816992.shtml
2026-04-28,SSE,广发证券股份有限公司,562550,2026-04-29,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10816998.shtml
2026-04-28,SSE,广发证券股份有限公司,563030,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817008.shtml
2026-04-28,SSE,广发证券股份有限公司,563750,2026-04-29,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260428_10817004.shtml
2026-04-28,SZSE,中国国际金融股份有限公司,159008,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?53b55771-c93e-4eef-8c0e-158ea300e721
2026-04-28,SZSE,国信证券股份有限公司,159008,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?53b55771-c93e-4eef-8c0e-158ea300e721
2026-04-28,SZSE,广发证券股份有限公司,159008,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?53b55771-c93e-4eef-8c0e-158ea300e721
2026-04-28,SZSE,方正证券股份有限公司,159008,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?53b55771-c93e-4eef-8c0e-158ea300e721
2026-04-28,SZSE,中信建投证券股份有限公司,159178,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?52702245-52e6-45d0-88f9-812cd61481ae
2026-04-28,SZSE,兴业证券股份有限公司,159178,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?52702245-52e6-45d0-88f9-812cd61481ae
2026-04-28,SZSE,中信建投证券股份有限公司,159185,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?c2c52c1d-335b-43f1-bd05-b35523d479ca
2026-04-28,SZSE,中信证券股份有限公司,159185,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?c2c52c1d-335b-43f1-bd05-b35523d479ca
2026-04-28,SZSE,国信证券股份有限公司,159230,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?0f9a4cef-d2f2-4998-974d-3da0d1860b0d; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?429b597e-9020-46eb-9e77-0cef46bf4eab; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?7663b68e-9b1b-49f9-b597-3fc381e16d60; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?991d5169-1f3c-4e3f-a7bd-1d47f6d31597; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?bbe2820a-f892-497e-9865-f7cd2cdeedca; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d1445db0-098e-4149-aa37-cb2c2e8e2561; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d21acc70-f382-41ce-a782-fb7d9ea1c955; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?e1ded353-0c42-436c-804e-b5f66cc0a31c
2026-04-28,SZSE,中国银河证券股份有限公司,159501,2026-04-29,终止,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?934ce277-4a47-44dd-92c1-4e27119d0c57
2026-04-28,SZSE,中国银河证券股份有限公司,159502,2026-04-29,终止,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?38bd3748-c173-4c2d-b67c-a51a67577b70
2026-04-28,SZSE,国信证券股份有限公司,159523,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?0f9a4cef-d2f2-4998-974d-3da0d1860b0d; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?429b597e-9020-46eb-9e77-0cef46bf4eab; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?7663b68e-9b1b-49f9-b597-3fc381e16d60; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?991d5169-1f3c-4e3f-a7bd-1d47f6d31597; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?bbe2820a-f892-497e-9865-f7cd2cdeedca; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d1445db0-098e-4149-aa37-cb2c2e8e2561; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d21acc70-f382-41ce-a782-fb7d9ea1c955; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?e1ded353-0c42-436c-804e-b5f66cc0a31c
2026-04-28,SZSE,国信证券股份有限公司,159573,2026-04-28,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?0f9a4cef-d2f2-4998-974d-3da0d1860b0d; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?429b597e-9020-46eb-9e77-0cef46bf4eab; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?7663b68e-9b1b-49f9-b597-3fc381e16d60; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?991d5169-1f3c-4e3f-a7bd-1d47f6d31597; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?bbe2820a-f892-497e-9865-f7cd2cdeedca; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d1445db0-098e-4149-aa37-cb2c2e8e2561; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?d21acc70-f382-41ce-a782-fb7d9ea1c955; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?e1ded353-0c42-436c-804e-b5f66cc0a31c
