公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-07-23,SSE,招商证券股份有限公司,512080,2026-07-24,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260723_10826565.shtml
2026-07-23,SSE,招商证券股份有限公司,517110,2026-07-24,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260723_10826567.shtml
2026-07-23,SSE,国泰海通证券股份有限公司,520990,2026-07-24,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260723_10826571.shtml
2026-07-23,SSE,浙商证券股份有限公司,560490,2026-07-24,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260723_10826569.shtml
2026-07-23,SSE,国泰海通证券股份有限公司,588130,2026-07-24,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260723_10826575.shtml
2026-07-23,SSE,东吴证券股份有限公司,589070,2026-07-24,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260723_10826577.shtml
2026-07-23,SSE,兴业证券股份有限公司,589070,2026-07-24,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260723_10826563.shtml
2026-07-23,SSE,国泰海通证券股份有限公司,589420,2026-07-24,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260723_10826573.shtml
2026-07-23,SZSE,广发证券股份有限公司,159129,2026-07-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?8ace823f-0967-46c3-af21-040083760e05; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?dee0abd4-0389-460b-bd95-92502869ab86
2026-07-23,SZSE,东方证券股份有限公司,159219,2026-07-23,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?1ee3aa50-94ae-4960-929b-f16845eff4d2; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a1043d33-ee83-4f82-ae4e-905d7f08966d; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?fcae01d6-9f43-48bc-85a0-2f5cdac72013
2026-07-23,SZSE,国泰海通证券股份有限公司,159351,2026-07-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?8ace823f-0967-46c3-af21-040083760e05; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?dee0abd4-0389-460b-bd95-92502869ab86
2026-07-23,SZSE,东方证券股份有限公司,159379,2026-07-23,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?1ee3aa50-94ae-4960-929b-f16845eff4d2; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a1043d33-ee83-4f82-ae4e-905d7f08966d; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?fcae01d6-9f43-48bc-85a0-2f5cdac72013
2026-07-23,SZSE,华泰证券股份有限公司,159516,2026-07-23,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?20911009-d54d-4c0b-8599-755131d2f0a4
2026-07-23,SZSE,招商证券股份有限公司,159592,2026-07-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?6d141c50-84ff-4484-b1d7-51ef414d9d52
2026-07-23,SZSE,中信证券股份有限公司,159701,2026-07-23,终止,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?4422d1a3-faaa-4d51-a4eb-ca295b0a01fb
2026-07-23,SZSE,广发证券股份有限公司,159778,2026-07-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?efbf5499-8538-44e8-ba42-b084ad2f4d8f; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?fef1e010-44b7-4850-8381-95f1d923eaba
2026-07-23,SZSE,广发证券股份有限公司,159807,2026-07-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?12097b26-7ba2-43fd-859b-35d933c228f1
2026-07-23,SZSE,东方证券股份有限公司,159808,2026-07-23,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?1ee3aa50-94ae-4960-929b-f16845eff4d2; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?a1043d33-ee83-4f82-ae4e-905d7f08966d; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?fcae01d6-9f43-48bc-85a0-2f5cdac72013
2026-07-23,SZSE,广发证券股份有限公司,159870,2026-07-21,调整,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?efbf5499-8538-44e8-ba42-b084ad2f4d8f; https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?fef1e010-44b7-4850-8381-95f1d923eaba
